Kogo,Gendaigo
そのかみ,その時 その昔
そばむ,横を向く
そらごと,嘘
たいだいし,もってのほかだ
ただならず,様子が普通ではない 心が平静ではない 妊娠する
ただならずなる,妊娠する
ただなり,普通だ
ただびと,臣下 普通の貴族
たてまつる,差し上げる ~し申し上げる/お召しになる お乗りになる 召し上がる
たのし,裕福だ
たのむ,あてにする あてにさせる
たばかる,工夫する
たまはす,お与えになる
たまはる,いただく
たまふ,お与えになる ~なさる
たまふ(会話・手紙文中),~ております
ためし,先例
ためらふ,気を静める 静養する
たより,よりどころ 縁故 機会
ちぎり,宿緣 逢瀬
ついで,順序 機会
ついでなし,起こるきっかけがない
つかうまつる,お仕え申し上げる ~し申し上げる
つかはす,おやりになる お与えになる
つきづきし,ふさわしい もっともらしい
つきなし,ふさわしくない
つくづくと,しんみりと
つごもり,月末
つたなし,下手だ 劣っている 下品だ 不運だ
つつまし,気がひける
つとめて,早朝 翌朝
つま,先 きっかけ
つゆ〜ず,少しも〜ない
つらし,薄情だ うらめしい
つれづれなり,しんみりとして物寂しい 退屈だ
つれなし,平気だ 冷淡だ 何の変化ももない
つれなしがほ,平気な顔
つれなしづくる,素知らぬふりをする
とかく,あれこれと
とが,欠点 罪
ときめかす,寵愛する
ときめく,(女)寵愛を受ける (男)時流に乗って栄える
とく(疾く),早く
ところせし,いっぱいだ 窮屈だ おおげさだ
とぶらふ,訪れる 見舞う
とみなり,急だ
な~そ,~するな
なおざりならず,いい加減でない
なかなか,かえって 中途半端に
なかなかなり,中途半端だ
ながむ,もの思いに沈む
ながむ(眺む),物思いに沈む
ながむ(詠む),口ずさむ
なさけ,情愛 風流心
なつかし,心ひかれる 好ましい
なつく,慣れ親しむ
なでふことなし,たいしたことはない
なでふ・なんでふ,どうして〜か(いや、〜ない。)
など・などか,どうして〜か(いや、〜ない。)
なのめならず,並々でない 格別だ
なのめなり,並一通りだ いい加減だ
なべて,総じて 普通
なべてならず,並々でない 格別だ
なほ,やはり
なほもあらじ,このままでは放っておけない
なまめかし,優美だ
なむ てむ,きっと~だろう 必ず~しよう
なめげなり,失礼だ
なめし,無礼だ
なやまし,具合が悪い
なやむ,病気で苦しむ 困る
ならふ,慣れる
なる(慣る),慣れる
にくし,気にくわない
にほふ,美しく照り映える
ぬべし つべし,きっと~だろう 必ず~しよう
ぬらむ つらむ,きっと~だろう 必ず~しよう
ねたし,しゃくに障る
ねをなく,声を出して泣く
ねんごろなり,熱心だ 親しみあっている
ねんず,祈る 我慢する
のたまふ のたまはす,おっしゃる
ののしる,評判になる
はかなし,頼りない 取るに足りない
はかなしごと,取るに足らないこと
はかばかし,思い通りに進む しっかりしている
はしたなし,不釣り合いだ 無愛想だ はげしい 決まりが悪い
はづかし,決まりが悪い 立派だ
はべり,お仕えする です ます ございます
はやく,以前 すでに なんとまあ
はらあし,怒りっぽい
はらから,兄弟姉妹
ばかばかし,しっかりしている
ひがおぼえ,記憶違い
ひがぎき,聞き間違い
ひがごと,間違い
ひがひがし,ひねくれている
ひがみみ,聞き間違い
ひがめ,見間違い
ひとかたならず,並々ではない
ひとぎきやさし,外聞が悪い
ひとびとし,かなりの身分だ
ひとやりならず,自分の意志で
ひとわろし,体裁が悪い
ひま,すき間 絶え間 機会
びんなし,不都合だ 感心しない 気の毒だ
ふかひなし,どうしようもない
ふびんなり,具合が悪い
ふみ,手紙 漢詩・漢文
